code,state_code,full_code,name,chamber,type,level,open_states_name
011,38,38011-lower,11,lower,StateDistrict,state,11
033,38,38033-lower,33,lower,StateDistrict,state,33
013,38,38013-lower,13,lower,StateDistrict,state,13
014,38,38014-lower,14,lower,StateDistrict,state,14
015,38,38015-lower,15,lower,StateDistrict,state,15
016,38,38016-lower,16,lower,StateDistrict,state,16
019,38,38019-lower,19,lower,StateDistrict,state,19
020,38,38020-lower,20,lower,StateDistrict,state,20
021,38,38021-lower,21,lower,StateDistrict,state,21
002,38,38002-lower,2,lower,StateDistrict,state,2
023,38,38023-lower,23,lower,StateDistrict,state,23
024,38,38024-lower,24,lower,StateDistrict,state,24
025,38,38025-lower,25,lower,StateDistrict,state,25
026,38,38026-lower,26,lower,StateDistrict,state,26
028,38,38028-lower,28,lower,StateDistrict,state,28
029,38,38029-lower,29,lower,StateDistrict,state,29
030,38,38030-lower,30,lower,StateDistrict,state,30
031,38,38031-lower,31,lower,StateDistrict,state,31
032,38,38032-lower,32,lower,StateDistrict,state,32
034,38,38034-lower,34,lower,StateDistrict,state,34
035,38,38035-lower,35,lower,StateDistrict,state,35
036,38,38036-lower,36,lower,StateDistrict,state,36
038,38,38038-lower,38,lower,StateDistrict,state,38
039,38,38039-lower,39,lower,StateDistrict,state,39
040,38,38040-lower,40,lower,StateDistrict,state,40
041,38,38041-lower,41,lower,StateDistrict,state,41
043,38,38043-lower,43,lower,StateDistrict,state,43
044,38,38044-lower,44,lower,StateDistrict,state,44
045,38,38045-lower,45,lower,StateDistrict,state,45
047,38,38047-lower,47,lower,StateDistrict,state,47
005,38,38005-lower,5,lower,StateDistrict,state,5
006,38,38006-lower,6,lower,StateDistrict,state,6
007,38,38007-lower,7,lower,StateDistrict,state,7
009,38,38009-lower,9,lower,StateDistrict,state,9
042,38,38042-lower,42,lower,StateDistrict,state,42
018,38,38018-lower,18,lower,StateDistrict,state,18
001,38,38001-lower,1,lower,StateDistrict,state,1
010,38,38010-lower,10,lower,StateDistrict,state,10
012,38,38012-lower,12,lower,StateDistrict,state,12
017,38,38017-lower,17,lower,StateDistrict,state,17
022,38,38022-lower,22,lower,StateDistrict,state,22
027,38,38027-lower,27,lower,StateDistrict,state,27
003,38,38003-lower,3,lower,StateDistrict,state,3
037,38,38037-lower,37,lower,StateDistrict,state,37
004,38,38004-lower,4,lower,StateDistrict,state,4
046,38,38046-lower,46,lower,StateDistrict,state,46
008,38,38008-lower,8,lower,StateDistrict,state,8
